code,ROE2,D/E,D/E2
0001,9.27,0.0,0.0
0002,13.64,0.12,0.18
0005,18.35,0.0,0.0
0006,0.09,0.0,0.0
0008,7.34,0.02,0.0
0011,7.67,0.3,0.25
0017,-18.28,0.02,0.02
0018,15.59,0.0,0.0
0022,-242.96,0.1,0.05
0023,9.87,0.0,0.0
0028,-4.29,0.04,0.04
0032,4.39,0.04,0.01
0034,-24.34,0.15,0.15
0035,0.51,0.0,0.0
0036,-9.32,0.17,0.01
0037,15.81,0.02,0.03
0038,-16.32,0.01,0.02
0040,18.68,0.2,0.24
0041,-54.66,0.0,0.0
0048,-1.45,0.33,0.2
0053,3.46,0.0,0.0
0055,-4.63,0.0,0.01
0056,4.72,0.01,0.01
0059,3.65,0.02,0.03
0060,0.4,0.4,0.0
0064,-5.37,0.0,0.0
0065,14.2,0.0,0.0
0069,-15.02,0.02,0.02
0072,-12.92,0.21,0.17
0074,9.16,0.0,0.0
0075,-27.46,1.28,0.61
0078,6.99,0.03,0.04
0079,1.74,0.0,0.0
0080,7.23,0.03,0.03
0081,1.63,0.0,0.02
0082,-35.33,0.97,1.49
0083,1.83,0.11,0.13
0084,13.1,0.01,0.01
0085,-10.94,0.0,0.0
0086,-12.81,0.0,0.0
0089,4.81,0.08,0.08
0091,0.0,0.0,0.0
0092,-25.22,0.01,0.0
0093,-8.15,0.17,0.15
0094,-50.51,0.0,0.0
0098,1.9,0.04,0.02
0100,1.58,0.01,0.01
0101,2.78,0.01,0.0
0103,-1.88,0.01,0.04
0105,-3.49,0.0,0.0
0106,21.5,0.0,0.0
0107,-10.23,0.18,0.1
0108,6.01,0.05,0.08
0109,4.03,0.0,0.0
0112,7.11,0.09,0.15
0113,12.73,0.0,0.0
0118,-8.0,0.0,0.0
0120,11.93,0.0,0.0
0127,23.27,0.17,0.14
0136,-0.72,0.29,0.29
0138,42.26,0.18,0.21
0141,-278.2,0.0,0.0
0143,-7.26,0.0,0.0
0146,10.12,0.02,0.02
0147,4.22,0.0,0.0
0150,-33.64,0.0,0.0
0151,19.19,0.13,0.01
0152,-23.05,0.0,0.0
0153,-8.0,0.04,0.03
0154,-29.85,0.01,0.01
0155,-21.51,0.0,0.39
0159,-222.16,0.0,0.0
0160,3.42,0.24,0.26
0161,6.94,0.57,0.58
0162,20.92,0.58,0.75
0163,-1.42,0.2,0.22
0166,17.58,0.01,0.01
0167,-9.79,0.16,0.16
0168,13.47,0.02,0.02
0171,8.49,0.02,0.02
0172,5.68,0.74,0.74
0175,-4.42,0.23,0.22
0176,9.62,0.02,0.03
0178,8.6,0.03,0.03
0179,5.15,0.06,0.06
0180,15.87,0.2,0.24
0181,-4.22,0.16,0.06
0182,-4.35,0.1,0.1
0186,12.97,0.82,0.86
0187,19.7,0.1,0.11
0189,0.98,0.0,0.0
0190,1.32,0.13,0.02
0192,19.37,0.07,0.08
0193,17.45,0.09,0.09
0195,6.7,0.25,0.1
0196,3.74,0.05,0.05
0197,23.11,0.21,0.24
0198,25.91,0.0,0.0
0199,3.59,0.28,0.28
0200,21.66,0.09,0.11
0201,20.93,0.0,0.0
0202,5.19,0.02,0.03
0203,2.2,0.02,0.05
0207,20.87,0.17,0.25
0208,57.48,0.11,0.08
0210,17.13,0.26,0.0
0211,6.76,0.0,0.0
0212,16.59,0.0,0.65
0213,37.42,0.02,0.06
0215,25.63,0.0,0.1
0216,19.82,0.01,0.17
0217,25.24,0.01,0.0
1007,2.49,0.27,0.36
1015,8.8,0.35,0.44
1023,8.44,0.83,0.87
1058,3.21,0.0,0.0
1066,10.1,0.29,0.29
1082,10.4,0.22,0.27
1147,-30.08,0.49,0.49
1155,10.45,0.91,0.79
1163,12.1,0.01,0.01
1171,8.62,0.23,0.25
1198,-5.04,0.01,0.0
1201,-0.51,0.0,0.0
1287,-2.87,0.41,0.4
1295,13.03,0.32,0.31
1368,11.83,0.26,0.24
1481,16.58,0.18,0.18
1503,-2.47,0.75,0.68
1538,10.75,0.33,0.42
1562,30.63,1.2,0.73
1589,-0.81,0.32,0.29
1619,1.58,0.48,0.46
1643,-5.75,0.07,0.07
1651,0.49,0.22,0.22
1694,0.73,0.0,0.65
1724,7.32,0.62,0.35
1818,22.72,0.01,0.01
1899,5.94,1.03,1.0
1902,-37.79,0.0,0.0
1929,4.69,0.0,0.0
1961,6.85,0.47,0.48
1996,-5.08,0.01,0.01
2038,-0.3,0.0,0.0
2054,-5.88,0.67,0.57
2062,6.46,0.1,0.1
2089,11.05,0.0,0.0
2097,-3.98,0.16,0.16
2127,10.66,0.09,0.09
2143,16.11,0.1,0.1
2186,0.43,0.0,0.0
2194,2.7,0.98,1.01
2216,-2.46,0.57,0.49
2224,2.81,0.2,0.16
2259,-7.04,0.11,0.01
2283,-41.56,9.8,8.04
2291,3.16,0.45,0.43
2305,2.57,0.0,0.0
2429,-10.09,0.25,0.28
2445,5.67,0.52,0.49
2453,-1.8,0.0,0.0
2488,9.61,0.3,0.29
2542,1.91,0.0,0.0
2569,-1.08,0.01,0.0
2607,-1.75,0.0,0.0
2674,0.26,0.89,0.89
2682,-2.02,0.03,0.03
2739,7.94,0.0,0.0
2755,2.22,0.0,0.0
2771,-6.85,0.59,0.41
2828,9.03,0.06,0.08
2836,183.26,0.04,0.04
2852,6.15,0.28,0.28
2879,4.81,0.49,0.48
2925,-14.46,0.36,0.48
2984,0.55,0.01,0.0
3018,2.95,0.37,0.37
3026,123.6,0.0,0.0
3034,17.91,0.48,0.4
3042,10.25,0.02,0.02
3069,10.64,0.02,0.02
3107,10.25,0.03,0.03
3158,1.69,0.25,0.17
3174,3.77,0.17,0.15
3182,5.73,1.05,0.85
3204,8.49,0.0,0.0
3239,-3.64,0.29,0.3
3247,-0.52,0.09,0.09
3255,81.8,0.01,0.01
3298,3.62,0.0,0.0
3301,21.19,0.01,0.0
3336,4.26,0.45,0.48
3379,4.83,0.02,0.04
3395,-5.16,0.62,0.55
3417,3.21,0.39,0.45
3441,-70.38,4.68,3.29
3476,1.58,0.09,0.09
3484,12.04,0.03,0.04
3514,7.41,0.01,0.0
3557,7.16,0.43,0.48
3565,2.92,3.81,3.88
3573,-7.11,0.07,0.07
3611,-1.25,0.11,0.2
3662,4.52,0.22,0.22
3689,16.95,0.04,0.04
3719,12.31,0.0,0.0
3743,14.47,0.24,0.17
3778,10.73,0.07,0.07
3794,-11.84,0.11,0.11
3816,4.07,0.24,0.22
3859,9.71,0.27,0.27
3867,10.45,0.02,0.0
3883,7.8,0.13,0.13
3891,-22.61,0.81,0.75
3905,-6.92,0.24,0.24
3913,6.53,0.0,0.0
3948,0.89,0.0,0.0
4006,8.08,0.0,0.01
4022,1.62,0.02,0.18
4057,5.17,0.24,0.2
4065,5.43,0.01,0.01
4081,-1.89,0.0,0.0
4162,85.33,0.06,0.06
4197,6.53,0.1,0.01
4219,-4.32,0.53,0.44
4235,-8.93,0.03,0.02
4243,7.14,0.11,0.11
4251,2.62,0.22,0.22
4286,7.15,0.32,0.16
4324,1.73,0.3,0.3
4359,-1.3,0.28,0.32
4375,2.46,0.07,0.07
4383,-18.03,0.33,0.24
4405,3.76,0.19,0.18
4448,-4.85,0.0,0.0
4464,-27.46,0.0,0.11
4502,7.44,0.56,0.0
4596,-1.32,0.08,0.0
4634,-9.06,0.34,0.12
4677,1.77,2.98,2.32
4707,102.01,0.2,0.27
4723,2.02,0.33,0.39
4731,16.73,0.16,0.12
4847,-58.0,0.99,0.64
4863,8.5,1.31,1.27
4898,3.11,0.27,0.28
4936,-3.16,0.0,0.0
4944,-0.99,0.14,0.12
4952,4.53,0.45,0.44
4995,-35.47,0.01,0.01
5000,-23.75,0.21,0.52
5001,-16.34,0.29,0.35
