code,nYear,ROI,ROI avg,ROI std,ROE avg,ROE std,EPS GR avg,EPS GR std,NPM avg,NPM std,P/E,P/E mid,P/E avg,P/E std,EPS,EPS avg,EPS std,DPS,DPS avg,DPS std,DPayout avg,DPayout std,DY avg,DY std,price,nMerge,nSplit,Annual,category,current_price,52w low,52w high,market cap,NTA,name
5105,10,130.19,28.98,35.37,17.31,12.73,182.14,440.18,11.96,10.99,0.77,6.05,6.42,3.07,373.65,75.39,102.69,6.0,4.2,0.87,11.22,5.91,1.88,0.62,2.87,0,0,2019-12-31,Industrial Products & Services,1.93,1.6,3.99,370.9M,9.019,CAN-ONE BERHAD
5181,10,105.25,15.02,30.21,12.23,21.86,165.15,452.86,6.87,3.92,0.95,24.4,24.3,14.54,42.63,7.16,11.91,105.7,11.22,31.49,50.58,67.48,27.17,77.94,0.405,0,0,2019-12-31,Industrial Products & Services,0.395,0.375,0.995,74.1M,0.55,SIG GASES BERHAD
4952,10,76.01,14.39,20.8,9.01,12.29,87.58,266.91,47.6,21.72,1.32,59.4,23.02,32.24,5.81,7.3,3.34,5.75,5.76,1.43,132.21,143.5,5.96,1.4,0.765,0,0,2019-12-31,Real Estate Investment Trusts,0.64,0.58,0.83,140.8M,1.2824,AMANAH HARTA TANAH PNB
1538,10,34.82,18.72,9.99,7.62,4.12,42.06,108.34,16.56,9.11,2.87,13.7,8.1,6.47,20.75,14.83,7.95,0.0,0.51,1.02,7.5,15.11,0.66,1.42,0.42,0,0,2019-03-31,Property,0.275,0.25,0.465,165.2M,1.65,SYMPHONY LIFE BERHAD
5038,10,32.19,25.49,8.11,14.01,9.0,1.44,29.01,38.27,11.49,3.11,4.36,4.29,1.22,24.31,30.36,8.59,0.0,1.0,2.0,2.7,5.49,0.54,1.08,0.755,0,0,2019-12-31,Property,0.445,0.405,0.94,461.7M,3.01,KSL HOLDINGS BERHAD
4057,10,28.33,35.38,44.64,9.64,13.03,122.27,277.36,37.4,43.74,3.53,10.99,6.22,5.49,5.09,6.67,10.72,0.0,0.03,0.09,0.08,0.24,0.13,0.39,0.125,0,0,2019-03-31,Property,0.065,0.055,0.17,67.4M,1.029,ASIAN PAC HOLDINGS BERHAD
7249,10,25.16,10.47,8.07,9.02,4.97,41.27,124.04,12.79,7.17,3.97,32.2,17.42,15.64,14.04,6.4,4.27,0.0,0.25,0.75,2.88,8.64,0.31,0.94,0.55,0,0,2019-12-31,Property,0.215,0.19,0.74,64.8M,0.88,EWEIN BERHAD
5401,10,24.89,18.03,7.86,7.97,3.5,21.65,53.88,19.58,7.64,4.02,7.93,6.78,3.02,23.32,18.95,8.88,2.78,3.88,1.74,23.7,13.72,3.72,1.69,0.935,0,0,2019-12-31,Property,0.79,0.72,0.94,"1,161.6M",3.21,TROPICANA CORPORATION BERHAD
3743,9,21.29,7.19,6.38,6.7,4.2,10.03,36.66,15.38,9.19,4.7,32.9,20.74,19.52,14.16,5.86,5.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.665,0,0,2019-09-30,Property,0.45,0.37,0.92,403.2M,1.12,SUNSURIA BERHAD
8605,9,20.64,13.34,7.79,8.84,4.38,78.19,135.32,4.08,2.12,4.84,6.78,7.17,4.05,7.74,4.5,2.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0,0,2019-06-30,Consumer Products & Services,0.16,0.145,0.5,17.4M,0.9857,FEDERAL INTERNATIONAL HOLDINGS BERHAD
