code,detail,TTM,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10
7100,Year End,TTM,2020-12,2019-12,2018-12,2017-12,2016-12,2015-12,2014-12,2013-12,2012-12,2011-12
7100,Revenue,159,155,157,140,137,121,113,95,94,92,103
7100,NP,88,84,76,69,71,56,49,40,39,45,49
7100,EPS,0.19,0.19,0.17,0.15,0.16,0.13,0.12,0.10,0.10,0.11,0.12
7100,DPS,0.16,0.16,0.14,0.15,0.07,0.11,0.09,0.10,0.10,0.11,0.11
7100,Div Payout,82.3,101.8,82.5,100.6,34.4,73.6,88.5,80.4,117.3,98.9,56.4
7100,Shares,453,452,453,453,442,415,419,410,407,406,406
7100,BVPS,0.45,0.39,0.39,0.36,0.61,0.59,0.54,0.49,0.46,0.46,0.44
7100,OCF,86,86,84,63,68,56,47,49,47,47,54
7100,FCF,85,85,83,54,67,53,47,37,30,20,42
7100,NP Margin,55.22,53.99,48.48,49.30,51.62,45.91,43.78,42.02,41.58,48.57,47.38
7100,ROE,46.14,49.09,48.53,35.65,28.89,23.02,23.27,20.89,20.67,23.93,26.57
7100,Revenue GR,11.40,-0.90,11.94,2.48,12.98,7.36,17.97,1.59,1.81,-10.66,2.40
7100,Revenue GR 3Y avg,—,4.36,9.03,7.52,12.68,8.76,6.86,-2.60,-2.34,3.54,-5.62
7100,Revenue GR 5Y avg,—,6.63,10.42,8.30,8.15,3.19,2.22,2.80,-5.23,-10.07,-7.58
7100,Revenue GR 10Y avg,—,4.41,6.54,1.31,-1.38,-2.34,—,—,—,—,—
7100,NP GR,—,5.94,11.02,11.86,20.68,12.41,3.22,-6.42,-9.42,18.48,-5.91
7100,NP GR 3Y avg,—,11.20,13.62,12.05,9.48,2.55,-1.28,8.27,-7.83,-10.54,-10.22
7100,NP GR 5Y avg,—,4.78,10.92,1.62,-1.03,-4.05,—,—,—,—,—
7100,NP GR 10Y avg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7100,EPS GR,25.14,10.62,10.05,-4.57,19.37,13.57,20.24,1.99,-12.94,-8.43,-6.47
7100,EPS GR 3Y avg,—,5.12,7.82,8.96,17.69,11.67,2.20,-6.67,-9.32,18.63,-5.72
