code,detail,TTM,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10
5257,Year End,TTM,2020-06,2019-06,2018-06,2017-06,2016-06,2015-06,2014-06,2013-06,2012-06,2011-06
5257,Revenue,185,374,441,141,116,124,163,246,—,—,—
5257,NP,7,13,28,-25,-4,3,-8,22,—,—,—
5257,EPS,0.03,0.06,0.12,-0.11,-0.02,0.01,-0.04,0.13,—,—,—
5257,DPS,0.01,0.03,0.01,—,—,—,0.01,—,—,—,—
5257,Div Payout,17.6,37.8,—,—,—,—,—,—,—,—,—
5257,Shares,234,234,234,234,234,234,212,173,—,—,—
5257,BVPS,0.74,0.72,0.65,0.64,0.67,0.70,—,—,—,—,—
5257,OCF,4,68,35,-7,10,-17,65,5,—,—,—
5257,FCF,1,66,34,-8,10,-49,-17,-4,—,—,—
5257,NP Margin,3.57,3.46,6.27,-17.97,-3.69,2.79,-5.05,8.92,—,—,—
5257,ROE,3.88,8.07,19.05,-17.37,-2.65,2.14,-6.18,20.39,—,—,—
5257,Revenue GR,-57.12,-15.25,212.19,22.26,-6.43,-24.42,-33.45,—,—,—,—
5257,Revenue GR 3Y avg,—,47.89,52.85,-4.74,-22.21,—,—,—,—,—,—
5257,Revenue GR 5Y avg,—,18.00,12.43,—,—,—,—,—,—,—,—
5257,Revenue GR 10Y avg,—,—,—,—,—,—,—,—,—,—,—
5257,NP GR,—,—,100.15,—,—,—,—,—,—,—,—
5257,NP GR 3Y avg,—,—,4.80,—,—,—,—,—,—,—,—
5257,NP GR 5Y avg,—,—,—,—,—,—,—,—,—,—,—
5257,NP GR 10Y avg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5257,EPS GR,-102.52,-53.25,—,—,—,—,—,—,—,—,—
5257,EPS GR 3Y avg,—,—,99.94,—,—,—,—,—,—,—,—
5257,EPS GR 5Y avg,—,—,-1.32,—,—,—,—,—,—,—,—
5257,EPS GR 10Y avg,—,—,—,—,—,—,—,—,—,—,—
5257,OCF GR,—,92.57,—,—,—,—,—,—,—,—,—
5257,FCF GR,—,93.84,—,—,—,—,—,—,—,—,—
5257,D/E,0.13,0.20,0.24,0.38,0.41,0.50,0.19,0.31,—,—,—
5257,Price,0.6750,0.6500,0.8850,0.2700,0.3450,0.3950,0.9600,0.0000,0.0,0.0,0.0
5258,Year End,TTM,2019-12,2018-12,2017-12,2016-12,2015-12,2014-12,2013-12,2012-12,2011-12,2010-12
5258,Revenue,"3,359","3,462","2,842","2,620","2,181","2,039","2,059","2,031","1,887","1,475","1,771"
5258,NP,679,787,682,620,559,547,532,279,252,203,231
5258,EPS,0.38,0.45,0.40,0.38,0.35,0.36,0.36,0.26,0.25,0.19,0.21
5258,DPS,0.16,0.16,0.15,0.14,0.13,0.12,0.23,0.08,0.14,0.02,0.01
5258,Div Payout,42.0,35.2,35.0,34.5,33.0,41.6,27.0,44.4,60.3,6.9,—
5258,Shares,"1,793","1,759","1,690","1,634","1,586","1,541","1,494","1,081","1,112","1,112","1,112"
5258,BVPS,3.21,3.41,3.03,2.81,2.58,2.12,2.05,1.92,1.82,1.49,—
5258,OCF,57,248,"3,283",-473,"1,615","-1,144","-2,723","1,588",13,"-1,193",579
5258,FCF,-190,178,"3,134",-535,"1,572","-1,280","-2,798","1,541",-61,"-1,273",469
5258,NP Margin,20.21,22.73,24.00,23.66,25.63,26.84,25.85,13.75,13.37,13.78,13.03
5258,ROE,10.83,14.41,14.27,14.73,15.32,17.20,18.49,11.57,13.13,11.69,13.95
5258,Revenue GR,-36.95,21.84,8.48,20.11,6.95,-0.98,1.40,7.63,27.93,-16.71,—
5258,Revenue GR 3Y avg,—,16.66,11.70,8.35,2.40,2.62,11.76,4.67,22.65,11.15,—
5258,Revenue GR 5Y avg,—,10.95,6.95,6.78,8.13,2.86,15.70,13.35,4.67,—,—
5258,Revenue GR 10Y avg,—,13.41,10.26,5.67,—,—,—,—,—,—,—
5258,NP GR,—,12.07,7.61,5.20,26.02,29.45,37.84,6.56,25.53,-4.20,—
5258,NP GR 3Y avg,—,8.13,19.55,19.70,22.43,18.84,32.36,3.09,-18.89,—,—
5258,NP GR 5Y avg,—,20.21,10.62,-2.39,—,—,—,—,—,—,—
5258,NP GR 10Y avg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5258,EPS GR,7.22,10.88,6.38,7.63,-0.79,-0.31,37.93,13.86,24.15,-11.97,—
5258,EPS GR 3Y avg,—,8.28,4.34,2.11,10.91,16.12,24.93,7.56,19.43,-8.99,—
5258,EPS GR 5Y avg,—,4.66,9.33,10.82,14.03,11.34,21.53,0.29,-22.93,—,—
5258,EPS GR 10Y avg,—,13.18,4.49,-8.39,—,—,—,—,—,—,—
5258,OCF GR,—,-92.46,—,—,—,—,—,—,—,—,—
5258,FCF GR,—,-94.31,—,—,—,—,—,—,—,—,—
5258,D/E,0.46,0.42,0.43,0.59,0.50,0.59,0.43,0.45,0.19,—,—
5258,Price,4.2300,4.2600,4.4000,3.5600,4.4000,4.2200,3.8300,4.0700,4.5400,2.8100,2.0300
5263,Year End,TTM,2020-12,2019-12,2018-12,2017-12,2016-12,2015-12,2014-12,2013-12,2012-12,2011-12
5263,Revenue,"1,642","1,553","1,769","2,257","2,076","1,789","1,917","1,881","1,840","1,448",—
5263,NP,77,73,129,145,138,124,127,125,67,55,—
5263,EPS,0.06,0.06,0.10,0.11,0.10,0.10,0.10,0.13,0.05,0.04,—
5263,DPS,0.04,0.05,0.07,0.07,0.06,0.07,—,—,—,—,—
5263,Div Payout,67.3,82.6,67.3,68.0,51.5,69.6,—,—,—,—,—
5263,Shares,"1,289","1,289","1,291","1,292","1,293","1,293","1,293","1,293","1,293","1,293",—
5263,BVPS,0.51,0.47,0.46,0.43,0.42,0.35,0.33,—,—,—,—
5263,OCF,106,88,194,189,63,86,240,184,83,51,—
5263,FCF,102,84,185,133,8,66,201,138,34,-6,—
5263,NP Margin,4.67,4.69,7.31,6.41,6.64,6.91,6.63,6.64,3.64,3.78,—
5263,ROE,11.82,11.55,21.30,25.28,26.33,26.17,33.23,26.89,11.40,9.78,—
5263,Revenue GR,24.43,-12.22,-21.63,8.70,16.07,-6.68,1.92,2.24,27.00,—,—
5263,Revenue GR 3Y avg,—,-9.23,-0.38,5.59,3.35,-0.93,9.79,—,—,—,—
5263,Revenue GR 5Y avg,—,-4.13,-1.22,4.17,7.47,—,—,—,—,—,—
5263,Revenue GR 10Y avg,—,—,—,—,—,—,—,—,—,—,—
