code,nYear,ROI,ROI avg,ROI std,ROE avg,ROE std,EPS GR avg,EPS GR std,NPM avg,NPM std,P/E,P/E mid,P/E avg,P/E std,EPS,EPS avg,EPS std,DPS,DPS avg,DPS std,DPayout avg,DPayout std,DY avg,DY std,price,nMerge,nSplit,Annual,category,current_price,52w low,52w high,market cap,NTA,name
5622,9,269.46,73.03,105.39,32.08,56.49,323.39,843.16,14.98,13.3,0.37,196.38,48.23,121.74,199.4,41.62,58.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0,0,2018-12-31,Construction,0.81,0.74,0.9,56.0M,1.04,PIMPINAN EHSAN BERHAD
8591,10,47.61,21.44,14.4,7.6,4.08,38.61,72.9,7.86,6.19,2.1,9.62,7.08,4.51,41.4,17.84,11.0,4.5,4.1,0.57,31.22,15.92,5.14,2.13,0.87,0,0,2018-12-31,Construction,0.905,0.855,1.21,160.1M,2.95,CREST BUILDER HOLDINGS BERHAD
1538,10,34.82,18.72,9.99,7.62,4.12,42.06,108.34,16.56,9.11,2.87,13.7,8.1,6.47,20.75,14.83,7.95,0.0,0.51,1.02,7.5,15.11,0.66,1.42,0.42,0,0,2019-03-31,Property,0.405,0.33,0.45,243.2M,1.62,SYMPHONY LIFE BERHAD
4057,10,28.33,35.38,44.64,9.64,13.03,122.27,277.36,37.4,43.74,3.53,10.99,6.22,5.49,5.09,6.67,10.72,0.0,0.03,0.09,0.08,0.24,0.13,0.39,0.125,0,0,2019-03-31,Property,0.13,0.11,0.17,134.8M,1.023,ASIAN PAC HOLDINGS BERHAD
7249,10,26.35,9.25,6.53,8.78,4.68,41.25,124.05,11.97,7.06,3.8,32.2,17.8,15.36,13.96,5.86,3.55,0.0,0.25,0.75,2.88,8.64,0.31,0.94,0.53,0,0,2018-12-31,Property,0.55,0.52,0.74,165.9M,0.87,EWEIN BERHAD
7323,10,21.3,18.94,4.86,12.23,3.03,11.18,44.32,34.08,5.13,4.7,5.8,5.62,1.36,13.42,18.39,5.29,1.5,3.8,1.47,21.61,8.54,3.85,1.26,0.63,0,1,2018-12-31,Property,0.585,0.53,0.78,112.2M,1.78,KEN HOLDINGS BERHAD
3743,9,21.29,7.19,6.38,6.7,4.2,10.03,36.66,15.38,9.19,4.7,32.9,20.74,19.52,14.16,5.86,5.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.665,0,0,2019-09-30,Property,0.61,0.58,0.92,546.5M,1.09,SUNSURIA BERHAD
8605,9,20.64,13.34,7.79,8.84,4.38,78.19,135.32,4.08,2.12,4.84,6.78,7.17,4.05,7.74,4.5,2.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0,0,2019-06-30,Consumer Products & Services,0.315,0.28,0.53,34.3M,0.9528,FEDERAL INTERNATIONAL HOLDINGS BERHAD
8273,10,20.15,20.18,7.43,8.11,1.06,6.82,31.87,8.0,1.66,4.96,5.54,5.54,1.65,10.08,10.27,2.53,0.0,0.5,1.0,6.36,12.73,1.7,3.51,0.5,0,0,2018-12-31,Industrial Products & Services,1.08,0.475,1.17,203.7M,1.29,PUBLIC PACKAGES HOLDINGS BHD
5099,10,19.95,12.8,6.9,18.44,9.32,70.2,176.36,14.43,7.11,5.01,47.3,17.17,24.95,59.2,30.96,18.45,12.0,3.5,6.09,10.87,19.68,1.19,2.17,2.97,0,0,2018-12-31,Consumer Products & Services,1.71,1.64,3.29,"5,714.8M",1.38,AIRASIA GROUP BERHAD
