name,category,Annual,nMerge,nSplit,NTA,current_price,52w low,52w high,market cap,code,nYear,price,ROI,ROI avg,ROI std,ROE avg,ROE std,EPS GR avg,EPS GR std,EPS,EPS avg,EPS std,NPM avg,NPM std,P/E,P/E mid,P/E avg,P/E std,DPS,DPS avg,DPS std,DPayout avg,DPayout std,DY avg,DY std
SIG GASES BERHAD,Industrial Products & Services,2019-12-31,0,0,0.55,0.41,0.4,0.995,76.9M,5181,10,0.405,105.25,15.02,30.21,12.23,21.86,165.15,452.86,42.63,7.16,11.91,6.87,3.92,0.95,24.4,24.3,14.54,105.7,11.22,31.49,50.58,67.48,27.17,77.94
STAR MEDIA GROUP BERHAD,Telecommunications & Media,2019-12-31,0,0,1.11,0.295,0.295,0.81,217.9M,6084,10,0.485,1.59,6.61,2.9,10.91,6.07,-14.24,30.83,0.77,15.96,9.02,13.0,6.2,63.04,52.6,26.23,27.71,2.0,22.41,19.49,186.59,123.47,9.87,7.04
PERUSAHAAN SADUR TIMAH MALAYSIA (PERSTIMA) BHD,Industrial Products & Services,2019-03-31,0,0,3.96,3.54,3.53,5.0,351.5M,5436,10,4.91,8.41,10.25,3.65,13.53,5.68,2.15,40.29,41.31,46.16,16.25,5.84,1.96,11.89,10.29,10.7,2.8,10.0,35.35,9.02,85.51,35.91,8.22,2.9
CLASSIC SCENIC BERHAD,Consumer Products & Services,2019-12-31,0,0,0.77,0.755,0.75,1.14,91.0M,7202,10,0.995,5.22,8.0,2.67,10.91,2.34,-3.28,23.66,5.19,8.66,1.92,18.33,3.97,19.17,13.18,13.72,3.78,5.0,8.56,2.22,99.04,13.49,7.8,2.41
AMANAHRAYA REAL ESTATE INVESTMENT TRUST,Real Estate Investment Trusts,2019-12-31,0,0,1.3378,0.68,0.655,0.865,389.8M,5127,10,0.74,8.37,11.66,5.23,8.8,3.59,28.02,114.06,6.19,10.27,4.17,89.06,44.15,11.95,14.04,10.63,5.27,6.2,6.58,0.65,77.6,38.48,7.46,0.71
HEKTAR REAL ESTATE INVESTMENT TRUST,Real Estate Investment Trusts,2019-12-31,0,0,1.3192,0.8,0.73,1.16,369.6M,5121,10,0.99,2.5,8.17,5.17,7.71,4.77,66.92,251.61,2.48,11.32,7.12,37.86,23.94,39.97,66.3,26.25,35.03,7.77,9.97,0.88,188.06,242.45,7.38,0.46
SAPURA INDUSTRIAL BERHAD,Industrial Products & Services,2019-01-31,0,0,1.44,0.56,0.53,0.815,40.8M,7811,10,0.7,8.32,13.81,6.33,10.88,6.88,10.19,57.64,5.82,13.08,7.66,3.67,1.8,12.03,12.5,9.19,4.85,2.0,7.48,7.32,53.57,27.9,7.33,6.53
QUILL CAPITA TRUST,Real Estate Investment Trusts,2019-12-31,0,0,1.2011,0.76,0.72,1.12,814.6M,5123,10,1.0,2.72,6.81,1.6,6.01,1.37,-1.98,5.39,6.73,8.43,0.66,50.02,14.8,36.8,24.36,16.3,7.1,6.8,8.16,0.47,96.95,3.18,7.19,0.38
AMFIRST REAL ESTATE INVESTMENT TRUST,Real Estate Investment Trusts,2019-03-31,0,0,1.219,0.425,0.415,0.55,291.7M,5120,10,0.535,6.07,7.93,3.17,5.77,2.66,-0.44,50.35,3.25,7.69,3.76,41.6,18.39,16.47,21.94,15.65,8.46,4.0,6.59,2.24,105.75,53.95,7.11,1.1
JAYCORP BERHAD,Consumer Products & Services,2019-07-31,0,0,1.23,0.88,0.8,1.22,120.8M,7152,10,0.97,15.12,10.48,4.21,8.98,4.36,44.98,111.82,14.67,9.13,5.08,5.27,1.83,6.61,18.18,12.06,7.01,10.0,6.0,3.15,70.47,16.95,6.93,2.36
