code,nYear,ROI,ROI avg,ROI std,ROE avg,ROE std,EPS GR avg,EPS GR std,NPM avg,NPM std,P/E,P/E mid,P/E avg,P/E std,EPS,EPS avg,EPS std,DPS,DPS avg,DPS std,DPayout avg,DPayout std,DY avg,DY std,price,nMerge,nSplit,Annual,category,current_price,52w low,52w high,market cap,NTA,name
5105,10,130.19,28.98,35.37,17.31,12.73,182.14,440.18,11.96,10.99,0.77,6.05,6.42,3.07,373.65,75.39,102.69,6.0,4.2,0.87,11.22,5.91,1.88,0.62,2.87,0,0,2019-12-31,Industrial Products & Services,2.5,2.4,3.99,480.4M,9.019,CAN-ONE BERHAD
5181,10,105.25,15.02,30.21,12.23,21.86,165.15,452.86,6.87,3.92,0.95,24.4,24.3,14.54,42.63,7.16,11.91,105.7,11.22,31.49,50.58,67.48,27.17,77.94,0.405,0,0,2019-12-31,Industrial Products & Services,0.41,0.4,0.995,76.9M,0.55,SIG GASES BERHAD
4952,10,76.01,14.39,20.8,9.01,12.29,87.58,266.91,47.6,21.72,1.32,59.4,23.02,32.24,5.81,7.3,3.34,5.75,5.76,1.43,132.21,143.5,5.96,1.4,0.765,0,0,2019-12-31,Real Estate Investment Trusts,0.71,0.71,0.83,156.2M,1.2824,AMANAH HARTA TANAH PNB
1538,10,34.82,18.72,9.99,7.62,4.12,42.06,108.34,16.56,9.11,2.87,13.7,8.1,6.47,20.75,14.83,7.95,0.0,0.51,1.02,7.5,15.11,0.66,1.42,0.42,0,0,2019-03-31,Property,0.325,0.31,0.465,195.2M,1.65,SYMPHONY LIFE BERHAD
4057,10,28.33,35.38,44.64,9.64,13.03,122.27,277.36,37.4,43.74,3.53,10.99,6.22,5.49,5.09,6.67,10.72,0.0,0.03,0.09,0.08,0.24,0.13,0.39,0.125,0,0,2019-03-31,Property,0.09,0.085,0.17,93.3M,1.029,ASIAN PAC HOLDINGS BERHAD
7249,10,25.16,10.47,8.07,9.02,4.97,41.27,124.04,12.79,7.17,3.97,32.2,17.42,15.64,14.04,6.4,4.27,0.0,0.25,0.75,2.88,8.64,0.31,0.94,0.55,0,0,2019-12-31,Property,0.3,0.265,0.74,90.5M,0.88,EWEIN BERHAD
5401,10,24.89,18.03,7.86,7.97,3.5,21.65,53.88,19.58,7.64,4.02,7.93,6.78,3.02,23.32,18.95,8.88,2.78,3.88,1.74,23.7,13.72,3.72,1.69,0.935,0,0,2019-12-31,Property,0.85,0.775,0.94,"1,249.9M",3.21,TROPICANA CORPORATION BERHAD
3743,9,21.29,7.19,6.38,6.7,4.2,10.03,36.66,15.38,9.19,4.7,32.9,20.74,19.52,14.16,5.86,5.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.665,0,0,2019-09-30,Property,0.555,0.49,0.92,497.2M,1.12,SUNSURIA BERHAD
8605,9,20.64,13.34,7.79,8.84,4.38,78.19,135.32,4.08,2.12,4.84,6.78,7.17,4.05,7.74,4.5,2.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0,0,2019-06-30,Consumer Products & Services,0.235,0.21,0.53,25.6M,0.9857,FEDERAL INTERNATIONAL HOLDINGS BERHAD
5053,10,19.08,20.03,17.75,11.27,9.84,161.0,501.84,98.03,119.45,5.24,16.23,9.33,8.15,19.84,28.21,25.87,5.0,7.6,4.83,30.97,15.68,5.29,2.92,1.04,0,0,2019-12-31,Property,0.805,0.79,1.05,"1,686.7M",2.41,OSK HOLDINGS BERHAD
5065,10,17.12,14.02,2.25,6.45,1.54,16.91,36.54,3.24,0.73,5.84,8.29,7.36,1.41,17.81,11.87,4.33,3.0,1.35,1.36,10.34,11.21,1.32,1.36,1.04,0,0,2019-12-31,Industrial Products & Services,0.96,0.875,1.42,72.2M,2.36,ORNAPAPER BERHAD
1163,10,17.12,16.54,3.1,11.1,1.44,9.93,11.91,6.67,0.93,5.84,6.32,6.27,1.22,203.87,155.24,35.69,65.0,15.52,19.48,9.0,9.7,1.29,1.17,16.28,0,0,2019-12-31,Financial Services,13.6,13.0,17.02,"2,405.7M",20.77,ALLIANZ MALAYSIA BERHAD
3379,10,16.35,18.18,6.33,7.28,3.46,57.93,137.5,31.05,15.94,6.12,12.8,7.0,5.18,12.35,13.67,7.04,2.0,0.83,0.62,6.14,5.46,1.09,0.93,0.755,0,0,2019-06-30,Financial Services,0.6,0.58,0.92,416.0M,2.68,INSAS BERHAD
7252,10,15.52,11.72,7.27,14.81,8.93,352.47,860.46,7.04,3.96,6.44,66.25,27.78,42.36,20.02,10.93,7.03,6.0,2.95,2.84,19.96,12.03,2.53,2.09,1.29,0,0,2019-12-31,Consumer Products & Services,0.85,0.85,1.43,255.0M,1.04,TEO SENG CAPITAL BERHAD
7152,10,15.12,10.48,4.21,8.98,4.36,44.98,111.82,5.27,1.83,6.61,18.18,12.06,7.01,14.67,9.13,5.08,10.0,6.0,3.15,70.47,16.95,6.93,2.36,0.97,0,0,2019-07-31,Consumer Products & Services,0.88,0.8,1.22,120.8M,1.23,JAYCORP BERHAD
5152,10,14.0,12.17,4.89,11.59,4.44,20.48,46.3,12.38,5.36,7.15,11.22,9.75,4.11,19.26,11.26,4.66,4.5,4.3,2.38,43.91,28.56,4.68,2.52,1.38,0,0,2019-12-31,Industrial Products & Services,1.23,1.06,1.49,132.1M,1.38,MUAR BAN LEE GROUP BERHAD
5147,10,13.16,10.79,4.2,12.39,5.38,15.24,89.07,2.29,0.87,7.6,17.34,11.41,6.5,8.75,8.29,3.08,4.0,2.01,2.2,20.41,21.47,2.28,2.37,0.665,0,0,2019-12-31,Industrial Products & Services,0.455,0.45,0.765,123.8M,0.57,SAMCHEM HOLDINGS BERHAD
8591,10,12.76,21.25,14.5,7.52,4.15,28.72,80.16,7.89,6.17,7.84,9.62,7.18,4.51,11.6,18.11,10.8,3.5,4.15,0.49,30.87,15.9,5.02,2.17,0.915,0,0,2019-12-31,Construction,0.705,0.69,1.21,124.7M,3.02,CREST BUILDER HOLDINGS BERHAD
7169,10,12.56,13.45,3.74,9.73,1.7,10.67,39.41,3.98,0.73,7.96,10.26,8.15,2.82,15.82,13.36,3.13,7.0,5.2,1.25,40.09,8.68,5.36,1.98,1.26,0,0,2019-03-31,Industrial Products & Services,1.17,1.07,1.3,193.3M,1.69,DOMINANT ENTERPRISE BERHAD
6114,10,11.95,11.37,2.48,9.22,4.54,11.32,47.29,11.94,3.07,8.37,10.4,9.26,2.27,14.1,21.23,8.47,3.5,5.55,2.57,29.22,13.28,2.99,1.26,1.18,0,0,2019-09-30,Property,1.13,1.1,1.86,662.8M,2.84,MKH BERHAD
7029,10,11.49,12.95,4.93,6.65,3.41,39.89,99.93,4.65,1.9,8.7,11.15,9.02,3.77,28.73,9.15,6.99,2.0,1.0,0.74,11.38,9.1,1.56,1.26,2.5,0,0,2019-12-31,Industrial Products & Services,0.99,0.695,3.2,54.1M,1.94,MASTER-PACK GROUP BERHAD
5100,10,10.97,9.68,3.25,9.66,2.47,8.77,43.93,5.68,1.52,9.12,11.14,11.41,3.3,11.3,8.53,2.41,6.0,5.5,1.5,67.83,20.28,6.11,1.24,1.03,0,0,2019-12-31,Industrial Products & Services,0.93,0.92,1.13,174.5M,1.02,BP PLASTICS HOLDING BHD
6017,10,10.88,10.38,2.2,8.3,3.42,15.89,42.9,29.98,11.74,9.19,12.14,10.21,2.78,26.12,23.43,11.4,8.0,7.3,6.48,23.4,20.82,2.74,2.41,2.4,0,0,2019-03-31,Property,2.0,2.0,2.81,484.2M,3.29,SHL CONSOLIDATED BHD
1066,10,10.71,9.94,1.05,12.48,4.75,6.9,34.32,19.48,2.68,9.34,11.04,10.19,1.22,61.91,61.09,17.14,31.0,19.1,7.07,34.22,15.31,2.98,1.12,5.78,0,0,2019-12-31,Financial Services,5.19,4.95,6.07,"20,812.1M",6.43,RHB BANK BERHAD
6718,10,10.7,14.75,5.61,8.4,4.84,31.83,84.9,23.01,11.55,9.34,13.02,8.45,4.91,13.38,26.86,16.36,6.0,9.5,3.98,41.82,13.97,5.56,1.82,1.25,0,0,2019-01-31,Property,0.96,0.945,1.44,269.2M,3.22,CRESCENDO CORPORATION BERHAD
6645,10,10.62,6.68,1.64,26.35,3.19,11.41,18.6,36.1,6.96,9.41,17.06,15.86,3.82,44.72,29.5,10.3,25.0,20.5,3.77,74.46,16.22,4.76,0.64,4.21,0,0,2019-03-31,Transportation & Logistics,4.35,4.13,5.0,"2,311.3M",2.07,LINGKARAN TRANS KOTA HOLDINGS BERHAD
5258,10,10.14,9.56,2.44,14.32,1.94,8.15,13.4,18.93,1.0,9.86,11.99,11.1,2.7,44.75,32.01,8.22,16.0,11.29,6.38,32.81,15.54,2.92,1.47,4.4,0,0,2019-12-31,Financial Services,3.44,3.44,4.75,"6,166.8M",3.34,BIMB HOLDINGS BERHAD
5156,10,9.6,36.66,32.0,16.18,16.1,14.51,123.41,10.53,6.94,10.41,19.01,9.63,11.27,1.31,7.13,6.94,0.0,0.25,0.75,1.28,3.85,0.83,2.5,0.12,0,0,2018-12-31,Consumer Products & Services,0.125,0.07,0.175,225.6M,0.8,XIDELANG HOLDINGS LTD
5908,10,9.46,12.4,5.37,15.25,9.94,16.82,54.28,1.23,0.82,10.57,10.84,9.79,4.18,24.79,38.53,25.48,10.0,9.75,4.91,29.42,14.28,3.03,0.84,2.62,0,0,2019-12-31,Consumer Products & Services,2.39,2.1,2.99,376.8M,3.9344,DKSH HOLDINGS (MALAYSIA) BERHAD
3301,10,9.23,10.78,3.88,15.63,4.33,18.84,73.01,12.47,4.1,10.83,18.06,11.29,6.69,104.2,67.16,23.76,50.0,32.45,11.61,53.65,28.88,4.88,0.9,11.28,0,0,2019-06-30,Consumer Products & Services,7.97,7.97,11.6,"2,613.4M",5.48,HONG LEONG INDUSTRIES BERHAD
3174,10,8.7,15.38,7.06,10.72,5.35,8.44,75.26,50.69,36.0,11.5,15.42,8.95,6.5,1.31,5.94,3.8,0.01,0.36,0.71,11.78,23.3,1.49,2.98,0.15,0,0,2019-03-31,Property,0.1,0.09,0.17,297.3M,0.3618,LAND & GENERAL BERHAD
2194,10,8.51,8.42,7.1,6.38,5.05,38.49,101.69,11.46,8.87,11.75,21.4,19.02,11.32,8.4,16.86,14.43,0.0,1.2,1.85,9.52,16.02,0.44,0.68,0.985,0,0,2019-12-31,Transportation & Logistics,0.645,0.645,1.25,"1,964.1M",3.04,MMC CORPORATION BERHAD
2488,10,8.49,7.97,0.57,11.51,1.7,6.53,12.73,35.31,4.41,11.78,13.2,12.62,0.97,34.7,32.1,4.9,16.7,15.07,5.98,45.58,13.2,3.65,1.18,4.09,0,0,2019-03-31,Financial Services,1.87,1.84,4.22,"2,895.0M",3.82,ALLIANCE BANK MALAYSIA BERHAD
